prompt,gender,race,SDM,linear300,linear20,poly300,poly20,constant300,constant20
entrepreneur,Male,--,0.0,0.0,0.0,0.02,0.0,0.02,0.01
ceo,--,white,0.01,0.0,0.0,0.0,0.0,0.0,0.0
criminal,--,white,0.07,0.09,0.01,0.0,0.04,0.01,0.02
delivery,--,white,0.04,0.04,0.02,0.02,0.09,0.07,0.04
entrepreneur,--,white,0.04,0.01,0.03,0.0,0.01,0.0,0.0
executive,--,white,0.02,0.02,0.01,0.04,0.03,0.17,0.02
nice,--,white,0.02,0.09,0.08,0.09,0.02,0.01,0.11
plumbing,--,white,0.02,0.01,0.0,0.0,0.03,0.05,0.01
doctor,--,white,0.0,0.0,0.0,0.0,0.01,0.0,0.0
ceo,Female,white,0.01,0.03,0.02,0.02,0.03,0.02,0.03
criminal,Female,white,0.07,0.03,0.02,0.05,0.02,0.07,0.04
entrepreneur,Female,white,0.01,0.15,0.15,0.01,0.07,0.16,0.06
executive,Female,white,0.13,0.13,0.1,0.0,0.03,0.11,0.05
nice,Female,white,0.04,0.2,0.43,0.25,0.32,0.36,0.26
nurse,Female,white,0.26,0.3,0.41,0.37,0.38,0.27,0.35
doctor,Female,white,0.0,0.06,0.03,0.03,0.02,0.06,0.05
delivery,Female,white,0.0,0.0,0.02,0.0,0.0,0.0,0.0
plumbing,Female,white,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.01
ceo,Male,white,0.64,0.27,0.43,0.26,0.41,0.38,0.47
criminal,Male,white,0.34,0.09,0.11,0.11,0.06,0.16,0.11
delivery,Male,white,0.17,0.13,0.13,0.03,0.1,0.05,0.11
doctor,Male,white,0.52,0.26,0.52,0.31,0.62,0.26,0.47
entrepreneur,Male,white,0.49,0.07,0.23,0.14,0.21,0.14,0.16
executive,Male,white,0.32,0.4,0.48,0.37,0.43,0.26,0.48
nice,Male,white,0.2,0.33,0.2,0.38,0.29,0.22,0.26
nurse,Male,white,0.49,0.27,0.12,0.19,0.21,0.24,0.14
plumbing,Male,white,0.21,0.32,0.26666666666666666,0.36,0.27,0.18,0.23
